max,mean,min,cross_improvec,cross_worsenc,unique
1,14222734044002704953789168790085674626711552.000,315212912217642596375109021056471132012544.000,34.957,27.533,16.433,5.733
2,10264493020292531867211039472877568.000,205605515266556899817942438379520.000,35.612,24.700,18.633,6.533
3,532592380566663991769241223168.000,31874324966820509456342712320.000,35.839,25.100,18.533,6.700
4,12104605889949091398637676658688.000,374615743299906168047009792000.000,35.985,24.767,18.867,6.233
5,1839751667215598813761304002560.000,73039393721077363498333241344.000,36.266,24.600,19.200,6.600
6,628369375087774867693580907819565056.000,12567427298854888590224707586883584.000,35.453,24.933,18.300,6.867
7,760396445820019284549381914624.000,15207928916403767260989095936.000,34.859,24.667,19.200,6.400
8,259534807714667008.000,5238250572511885.000,36.461,24.500,18.967,7.033
9,281632790360961103727427584.000,5632655807219469765312512.000,36.401,24.867,19.467,6.533
10,29531730876513644445696.000,1154661704210310627328.000,38.019,24.733,19.033,6.600
11,31078441937141931966464.000,621568849476535713792.000,35.313,24.333,19.500,6.567
12,1602036127897791546523648.000,32040722666390248488960.000,36.722,24.933,18.733,7.100
13,1017307585458214.000,42734255133782.344,36.676,23.900,19.767,7.133
14,1871002072711088832512.000,37420046482780569600.000,35.790,23.533,20.400,7.233
15,321271925274033430462464.000,6425438505491020906496.000,35.666,23.933,19.200,7.467
16,2768607861264915.000,55460105867526.625,35.899,24.667,18.867,7.900
17,2128551795055005.250,42593331256391.523,35.871,23.333,19.933,8.667
18,6012300569794481508843520.000,120246011397830227263488.000,35.634,24.000,19.000,8.200
19,1106502919848148761137119232.000,22130058435689003800854528.000,35.183,24.267,19.667,7.533
20,4954724987499137882342293504.000,99094499749982944563822592.000,34.649,24.533,19.333,7.067
21,607782261626828800.000,12184736780474520.000,36.324,22.967,20.533,8.133
22,126519545811309552.000,2570907874250143.000,35.981,23.300,20.333,7.200
23,5658067276927010.000,113162435950508.984,35.642,24.667,18.900,7.567
24,4636717332070918144.000,92734347667367344.000,38.419,24.333,18.867,7.600
25,3679916529123859968.000,73598334586355904.000,37.008,22.367,21.100,7.733
26,1883107255949560476717809664.000,37662145118991202318811136.000,36.581,23.167,19.933,8.467
27,156238883985151197184.000,3124786004014434304.000,37.814,23.567,20.433,7.700
28,327534940253874176.000,6551441964430843.000,36.698,23.467,20.133,8.333
29,13988336177535678152704.000,279766724471370186752.000,41.625,23.567,19.167,8.433
30,22350312961646291582976.000,447006260099683647488.000,37.326,22.333,21.800,8.000
31,13535214197342890484404416407404544.000,270704283946857839952277824077824.000,39.386,23.733,19.733,8.767
32,6312040538060940.000,126368885229518.500,38.739,22.867,20.867,7.833
33,21750571990404908017778688.000,435011439809090711191552.000,36.895,23.667,19.367,8.933
34,3837062449273602.500,76829657439737.766,38.239,22.867,20.633,8.233
35,25098704854209318092800.000,501974097086944313344.000,36.373,22.667,21.400,8.333
36,99828252796303130624.000,8178976316087356416.000,45.276,23.267,21.033,7.933
37,138709339598589345792.000,5019957874206316544.000,38.121,23.567,20.133,8.567
38,21326947386601271296.000,853197502203364096.000,38.038,22.200,21.000,8.567
39,65255982153071935488.000,1339310990080957184.000,40.882,22.600,21.633,8.433
40,52045373657673026981931801066340352.000,1040907473153460349406587761197056.000,40.418,23.967,20.433,8.133
41,5155979630966288384.000,103119646989701360.000,42.939,23.200,20.900,8.433
42,60677749807071832.000,1214661977172623.000,37.792,23.033,20.800,8.633
43,830021230217054.750,18060427440575.027,36.304,23.333,20.300,8.933
44,654501320671641959661568.000,26179303156992306053120.000,35.782,23.133,20.267,9.733
45,470255272663.289,9415465923.852,37.415,23.100,21.167,10.167
46,72400957716413.609,1448047429209.008,34.863,23.200,21.100,9.600
47,11372978928401481728.000,237844091770856512.000,36.997,22.700,20.500,10.367
48,2005337141225707.750,40188734846791.648,36.995,23.000,21.067,9.967
49,606161636263839005671424.000,12123232726517347778560.000,40.078,21.200,22.900,11.033
50,32701800633893166626322841301600436224.000,654036012677863382701600706521989120.000,36.661,23.300,21.333,9.900
