max,mean,min,cross_improvec,cross_worsenc,unique
1,31698035663297056581091328.000,633960713675420291039232.000,32.212,22.200,22.633,14.100
2,18819692600554164372367212544.000,376393852011217216209944576.000,31.050,20.567,23.600,15.333
3,262979450744006767751987200.000,5259589016795821765558272.000,30.257,20.433,23.600,16.600
4,1258353257971801513158246400.000,25167065159511046161956864.000,28.897,21.100,23.567,15.000
5,8903530175463197239953850368.000,178730619500337385372123136.000,27.968,20.633,23.000,13.900
6,297607744225456778572201984.000,5952154884509137375330304.000,28.368,20.133,23.867,13.433
7,48095934837545033007104.000,961918696753216618496.000,27.742,20.500,24.233,12.700
8,544697064771.925,10909438653.762,27.678,19.700,24.233,12.767
9,2252372735901016260608.000,45047454718025531392.000,27.909,20.000,23.967,12.533
10,368502856093988032.000,7370057121896577.000,27.929,19.867,24.467,12.100
11,54239698323137.359,1084794210936.924,28.548,20.300,23.467,10.867
12,66197594347.485,1324027038.099,28.990,20.767,22.767,11.767
13,102396883881264.500,2047939425509.602,27.796,19.700,23.400,11.867
14,3644145085355458048.000,72882901707407136.000,27.422,18.800,24.667,10.400
15,571779050044767.625,11435602894363.975,28.427,20.300,24.100,9.333
16,48172916281004848.000,971574373249319.375,27.875,20.400,23.500,10.133
17,26376571459292924.000,527531430159270.875,27.121,19.900,23.500,10.967
18,1806634743600.739,36150016122.249,27.333,19.167,24.633,9.967
19,8565565453636.099,171311436179.311,26.325,19.800,23.900,9.800
20,1191345661123388.000,23826913375032.645,26.259,19.900,24.900,8.500
21,472284720105762127872.000,9445694402136346624.000,26.028,19.567,23.633,9.400
22,19689981999193976832.000,393799640930622720.000,26.760,19.000,23.567,9.400
23,12847596168557920706887680.000,256951923371158420848640.000,25.975,19.200,23.567,9.300
24,86948090512723936.000,1738961822781280.500,26.361,18.500,24.100,9.033
25,114629834863.759,2292937691.626,26.104,19.533,23.100,9.600
26,723234894338955.500,14465312387422.986,25.765,19.467,23.600,9.567
27,4662778760863741.000,93255581969390.797,26.342,18.667,22.900,10.100
28,8953046139.433,249591883.650,25.833,18.867,24.100,8.667
29,1777871365825470976.000,35557427320804096.000,26.201,19.533,23.467,9.433
30,89313710880524337152.000,1786274217610524160.000,25.982,18.000,24.133,9.367
31,10345467055116222464.000,206909341102430592.000,25.580,18.800,24.433,9.233
32,318557657479316.625,6371156881259.951,25.700,18.500,23.933,9.467
33,2385408964737526.000,47708179838166.398,26.295,18.600,24.667,8.667
34,244161244394491360.000,4883224888194028.000,26.075,19.167,23.267,8.900
35,12287363017533016.000,245747260778911.188,25.632,18.633,23.967,9.167
36,59708953617.990,2366685282.435,25.326,18.567,23.300,8.967
37,1545849413207.376,30917013306.863,25.157,18.467,22.967,9.533
38,1552467617306.387,31049440793.171,25.004,18.167,23.600,8.567
39,148704800559863.531,2974101742884.114,25.091,19.200,23.967,8.167
40,153806864376.647,3409164596.233,25.352,17.533,24.333,8.800
41,1595887430772260893360128.000,31917748615445408120832.000,25.335,19.133,22.433,9.567
42,2337550584.776,47756951.271,26.538,19.567,23.067,8.433
43,11032429324.725,228665085.955,26.312,17.267,24.067,8.600
44,2637253837954.290,52747724893.622,26.413,17.900,23.300,8.933
45,131264502.794,2630408.713,26.787,18.300,23.300,9.200
46,6141591.261,126139.348,26.177,17.567,23.967,9.233
47,42785786851.951,855724507.667,25.985,17.300,23.867,9.533
48,69019187076579400.000,1380383741615065.000,26.394,18.367,22.867,9.567
49,73439573151786972741632.000,1468791463035739570176.000,25.757,17.233,23.900,9.000
50,49064591651.284,983422055.119,25.673,18.433,22.833,9.233
