max,mean,min,cross_improvec,cross_worsenc,unique
1,105359044492312956389059838952447958770605055016960.000,2107181295322832419475618477689908526023329185792.000,35.260,27.667,15.000,6.567
2,1398396501141390842028477586528899311546818101248.000,27967930023232013623411347825521393591354654720.000,35.421,25.267,18.600,5.700
3,1182157953500349287071151710581484663005847224320.000,47197244522709731416563361060368438740113162240.000,35.792,25.933,17.233,6.333
4,498420883145482420327457776048860147740372369408.000,13527996065004901169580088453830587383443095552.000,35.844,25.600,18.033,6.333
5,17184272232087969801595888598152038559927058300928.000,349713090781014275806166748807808485937695948800.000,36.370,24.833,18.033,6.600
6,335686544330016565829433243144938837483953586176.000,6786200742914229628253807880204296747925635072.000,36.725,25.467,17.933,6.033
7,10504849027267876015361524456354528863664996352.000,309031201475485149036948903874926796699860992.000,36.071,25.400,18.033,6.000
8,356523764338548784365669235575134485764636672.000,7130475287191527984212992098678466253160448.000,36.200,24.900,18.533,5.833
9,376787926283293149322424702260558698458906624.000,7535758527429007109252151471000432991535104.000,38.268,25.033,17.833,5.800
10,8022305587932621431878063748718526464.000,162673924643839920556829018616233984.000,37.878,25.300,17.633,6.400
11,3653306274996340225651223028991787008.000,78634314005948598934348571806269440.000,38.540,25.967,17.433,6.233
12,140050364885097192799133817722896384.000,2801102845954697112687669036449792.000,39.577,25.067,16.600,7.233
13,82912930068748676898124364739772416.000,4974833138248139921576652804456448.000,43.045,24.233,18.100,6.833
14,22156040297957482043573914522615808.000,443202121638759254309879706288128.000,67.305,26.533,16.533,6.167
15,98458045611458802991522435108438016.000,1970602600959638480199868437495808.000,155.891,25.267,17.233,6.800
16,1666483025483289236050071403888640.000,35866790646504063352349327884288.000,81.980,25.600,17.200,6.267
17,1164301424365427860434845696.000,92374810166530481797988352.000,119.936,25.367,17.433,7.100
18,147637313047871891492633747390464.000,2952770093621079248673087422464.000,51.280,24.900,17.800,6.300
19,93380595585408207064104223899648.000,3736312794000928812265224798208.000,72.854,24.800,18.133,6.333
20,121658342449861886056842299179008.000,2433635571674176852470215475200.000,44.826,25.433,17.833,6.267
21,45891690316397918923998101504.000,1669542417505546325456846848.000,67.630,25.200,18.667,5.800
22,44287572587133199588254388584448.000,892184727678259665353381511168.000,51.261,24.500,18.533,6.400
23,384807511374100813910286769217077248.000,7696181700845996284641504244269056.000,35.609,25.900,17.100,7.067
24,46384721785970264475230493736960.000,927833710679559230248089288704.000,38.474,25.067,18.200,6.967
25,4371947888274844959717195776.000,87501550998183195843756032.000,37.550,25.400,18.333,6.767
26,43784452246579065098892170231808.000,875689044958776890684170305536.000,37.491,24.900,17.967,7.767
27,303113894518893160788131840.000,10814279071678579938951168.000,40.225,24.967,18.467,6.967
28,420236669364166721536.000,36164492047076323328.000,39.749,24.367,18.300,7.400
29,23287089400825661488103424.000,465866845444670444535808.000,38.744,24.800,18.733,7.267
30,3182117270924575146770432.000,65406756624396978225152.000,52.653,25.433,18.433,6.967
31,3721625419815045749014528.000,134930949957006846328832.000,40.477,25.567,18.300,7.033
32,3139885677448421135351808.000,62846160273052918611968.000,40.129,24.467,18.667,7.967
33,17282472461705286124568576.000,345691310671003463450624.000,43.200,24.700,18.700,7.767
34,460408430847219771568553984.000,9598922827171251651346432.000,42.854,24.500,18.233,8.233
35,2887267785110796107776.000,63376393188680540160.000,42.224,26.533,17.467,7.000
36,8464560341067622400.000,193092134874341344.000,68.277,25.767,17.767,7.900
37,12340440618707972096.000,265922348138711552.000,53.165,25.133,18.100,7.600
38,5318393050874996850688.000,106368374346938613760.000,41.819,26.133,17.567,7.333
39,2867405001666640255304834482176.000,57348100035951644419131703296.000,65.110,24.567,18.667,8.300
40,2771630357918504718481280204800.000,55641072040550591654292094976.000,58.592,24.467,19.567,7.100
41,1035644991004941220095150727888896.000,20713467655490582962650497417216.000,60.771,24.267,19.433,7.600
42,11383584909053254368646660096.000,227671725054150873200984064.000,44.663,25.733,18.467,6.833
43,15634195971686605431818574197714273173504.000,312683919433732125259101503655436615680.000,37.798,24.900,18.867,7.367
44,124337027294872746479088954466192704143360.000,2486740596118695514251411179664152985600.000,40.505,24.500,19.967,6.967
45,125631156613233693111242277536221102080000.000,4813691193010181495864898151764579057664.000,43.759,24.733,18.067,8.267
46,28954025327813441641353788792715179521176193990656.000,579080522885747783582015742946260904490922147840.000,36.444,26.033,17.933,7.533
47,17672992939809407991062746805221968116381953032192.000,353459887073481548964914344486735849254775947264.000,50.337,25.333,18.667,7.833
48,23194411674880614042182456094147557288778148085760.000,463888259145488755507476600261471294814387437568.000,46.962,25.133,18.600,8.267
49,17295157407608277452239141603253006320778451353600.000,345903192816179119509053366371417536872472117248.000,39.697,25.033,18.833,7.633
50,29938837420013066037129441183770226602637206224896.000,598776748400261298026290067585533657231822684160.000,40.876,25.567,17.933,8.700
