max,mean,min,cross_improvec,cross_worsenc,unique
1,5117620427052874781949952.000,51177003812202855006208.000,31.104,49.667,38.733,14.600
2,189335960460015418998784.000,1893359608738173681664.000,29.962,40.467,47.300,17.200
3,238774289003824682106880.000,2387742896004214030336.000,28.905,36.767,51.833,19.800
4,5203220166649355173888.000,52057878082806366208.000,27.057,32.267,56.433,21.167
5,493333212502496114439132020736.000,4933332125024961298322948096.000,25.169,28.233,59.800,23.933
6,45207304250501792.000,452160609505300.438,24.880,28.467,60.933,26.700
7,346430092919823425907720192.000,3464300929198640584458240.000,24.410,26.233,62.033,29.467
8,462243916785484955648.000,4622439168837471232.000,23.839,27.033,62.300,30.367
9,418445944062577615603960381440.000,4184459440625812549874483200.000,23.485,27.500,60.667,32.033
10,237366431215074705408.000,2373664312238935552.000,23.152,26.500,62.133,32.167
11,10161315516067826.000,101613155928334.531,22.502,26.367,61.700,31.833
12,101252883755009.703,1012528958304.427,21.868,27.567,60.867,33.133
13,51260916273925909325446522932822016.000,512609162739259124959806606016512.000,21.491,26.200,60.967,33.267
14,80380427921701027840.000,803804279217244672.000,21.058,25.367,63.533,33.067
15,17035140453071686.000,170351404536440.156,20.638,26.700,61.700,34.300
16,357258738120079835136.000,3572587381200932352.000,20.235,26.200,61.667,35.733
17,3054979360156663173661851648.000,30549793601566632252014592.000,20.031,24.367,63.233,33.667
18,77526666249675391107072.000,775266662502303006720.000,19.962,25.200,63.033,34.133
19,159345141273841.125,1596918603925.425,19.986,25.800,61.600,34.800
20,613142116634824832.000,6131421171944160.000,19.659,25.967,62.533,33.067
21,112107618422549212890694418432.000,1121076184225492189380083712.000,19.543,26.367,62.400,33.900
22,11875688764460538789888000.000,118756887644606126096384.000,19.584,26.300,61.067,35.033
23,31962071519661985792.000,319620716101726336.000,19.367,25.400,61.667,34.500
24,1493036301405044.750,14930364104906.221,19.314,26.633,61.967,32.600
25,93830888912054140928.000,938308889122822656.000,19.358,24.633,63.200,32.700
26,25358660158569882583040.000,253586601585767284736.000,19.132,25.133,61.900,34.400
27,9815726843018214074642071552.000,98157268430182135936057344.000,18.896,25.067,62.633,34.300
28,260140317297870.531,2601403209658.173,18.816,25.400,61.867,34.633
29,57330757637183136.000,573307576373334.500,18.595,24.700,63.067,35.067
30,330048450318496956416.000,3300484503263683072.000,18.554,24.467,62.667,34.267
31,1854496218387259064320.000,18544962183872593920.000,18.517,23.833,64.200,34.167
32,8360483019640855.000,83604830997878.812,18.281,24.767,62.600,34.800
33,905776425152841216.000,9057764252821230.000,18.189,23.300,63.867,34.800
34,3481265805735849.000,34813247099226.293,18.228,24.367,64.233,32.667
35,825142489408718208.000,8252443947628157.000,18.204,24.000,63.067,34.167
36,90251502215361544192.000,902515022154258688.000,18.084,25.567,61.067,34.567
37,196523224752122700034247491584.000,1965232247521226901386428416.000,18.045,24.433,62.167,34.433
38,575432279658823680.000,5769121210540939.000,17.855,24.433,62.633,34.200
39,87824178033399152640.000,878241780334018816.000,17.790,23.467,63.167,34.533
40,1163162174552738234368.000,11631621748726018048.000,17.776,24.600,62.300,34.933
41,1008542684264130543616.000,10085426849439031296.000,17.737,25.767,61.167,33.833
42,322042908535305216.000,3220429087439601.500,17.673,24.267,61.333,33.933
43,629224521394250.375,6292245895577.451,17.661,24.733,61.067,33.200
44,341596523901748969472.000,3415965239105374720.000,17.617,24.900,61.000,33.567
45,922081434114781.250,9220831509694.287,17.983,24.533,61.200,34.633
46,15283450022845432356405248.000,152834505763784396636160.000,17.999,24.233,61.100,34.333
47,8764664717873708531712.000,87646647178824892416.000,17.979,24.433,61.500,34.133
48,866558264673649408.000,8665582646784862.000,17.820,26.467,59.367,33.267
49,38404720949.419,384047583.245,17.781,24.667,60.600,33.433
50,2945637451857.647,29456657715.298,17.897,23.633,61.667,32.567
51,1547854297591280384.000,15478543019836632.000,17.845,24.067,60.800,31.067
52,73882663268.893,772827598.703,17.803,24.367,60.267,33.333
53,22189315574859012262330368.000,221893155748590181679104.000,17.955,25.667,60.200,31.833
54,688838883370117504.000,6888388833824190.000,17.955,24.067,60.600,33.267
55,505411505653526808231936.000,5054115056565632368640.000,17.915,24.200,60.333,33.433
56,425597816739126272.000,4255978211388135.000,17.880,23.633,61.600,32.400
57,41251677265471225856.000,412516772738626368.000,17.741,23.900,61.167,32.367
58,2189466857120157.750,21894669043120.668,17.666,25.367,59.333,31.833
59,1041634274034926.500,10416342880220.572,17.658,23.333,61.133,31.500
60,28211834548499.145,282118377411.962,17.649,23.000,60.967,32.867
61,7356659867262326784.000,73569536651084400.000,17.619,23.267,60.067,32.433
62,75239277320379531264.000,752392773203914240.000,17.614,24.500,59.800,31.867
63,5792718642692993.000,57927204850374.547,17.566,24.167,60.233,31.333
64,180049180884405.688,1800581642251.574,17.533,23.433,60.833,31.633
65,7220714903052625.000,72207149129063.281,17.689,22.900,60.267,33.133
66,5196539229092.941,52600134600.065,17.650,24.100,60.567,31.300
67,978638291264.947,9823176587.078,17.597,22.733,60.600,32.000
68,68548133581170848431079424.000,685481335827494223216640.000,17.506,22.067,60.933,31.867
69,213050643383475.031,2130506461422.414,17.489,23.333,60.033,30.800
70,6509229727231688835072.000,65092297272328486912.000,17.492,22.267,59.000,32.333
71,17954962828658632704.000,179549628933725472.000,17.482,22.767,59.767,30.600
72,5014937994.254,50207349.391,17.456,24.433,60.233,31.133
73,4116394184394858823680.000,41163941843953131520.000,17.439,23.167,59.933,31.133
74,3589229667529793.500,35893893285226.109,17.437,22.833,59.800,30.100
75,2506533483853221376.000,25065334839498516.000,17.432,23.533,59.233,30.667
76,2602566315522421.500,26124456209383.668,17.334,23.367,60.233,29.433
77,3385823762846665108619264.000,33858237628466654609408.000,17.303,23.500,59.400,30.500
