max,mean,min,cross_improvec,cross_worsenc,unique
1,19839740225842.031,443621408417.021,34.908,26.000,19.400,5.600
2,111928849820.449,2239952720.879,33.922,17.900,25.500,7.800
3,7166130645225295565209731072.000,143322612904505925735284736.000,33.499,16.500,27.900,8.000
4,362574309150942080.000,7251486202853366.000,34.476,15.700,27.800,9.800
5,4311468423959.627,86255491371.162,32.994,15.900,27.800,10.800
6,1826208942428174.000,36524178974898.328,33.320,14.300,28.800,13.200
7,1536351846914550.750,30727102667436.176,31.887,12.700,31.400,14.100
8,338150300054.445,6763113779.671,32.352,14.900,29.600,16.400
9,14915919797.325,298324856.606,33.075,14.400,29.500,18.600
10,1007397592432.729,20147955732.611,32.597,15.600,28.600,20.700
11,970162243584.371,19403252334.083,31.896,14.400,29.400,21.500
12,127982543409.095,2559651007.644,31.801,14.900,30.500,20.500
13,36822745231983.789,736454922410.845,31.221,14.400,30.100,19.800
14,2142602800189394944.000,42852056004140640.000,31.111,14.200,29.500,19.600
15,39702540999235952.000,794050819984985.125,30.786,15.300,28.400,19.000
16,1615583.284,47323.653,29.735,12.600,30.600,19.800
17,2326980822.123,46579384.870,30.149,13.700,29.900,21.300
18,7284433.250,172545.616,30.136,13.200,28.400,22.200
19,222079329297345.125,4441586586188.307,29.089,15.200,29.600,18.800
20,792722763.857,15861660.294,29.723,12.400,29.900,20.400
21,13735404.522,307069.678,28.716,14.200,29.700,18.400
22,1627265764426233344.000,32545315288542536.000,28.678,13.900,29.700,20.300
23,585398715.331,11728013.407,28.959,13.400,29.400,19.000
24,22488239880925690413973504.000,449764797618513894178816.000,28.612,12.900,30.700,19.500
25,5561421071.551,114587712.432,28.308,13.800,29.000,19.700
26,116046214562742352.000,2320979098544496.000,27.888,13.000,29.900,18.700
27,73507451217364.484,1470188319959.899,27.612,14.400,27.400,20.800
28,1534455654.931,31307357.339,27.254,15.100,28.700,19.700
29,79924436395.831,1607428718.639,26.734,12.300,31.200,19.300
30,802761602.091,16057057.043,26.669,15.700,28.100,18.300
31,3272306555.602,163628215.405,26.584,16.300,26.400,19.500
