max,mean,min,cross_improvec,cross_worsenc,unique
1,591486272789.589,1736870347.989,13.664,267.500,164.533,101.900
2,7999582417024.974,16104913328.063,14.542,241.267,195.700,90.500
3,19906719722.806,47314973.303,13.709,236.633,195.400,92.700
4,11585518243.232,27921903.915,14.556,242.767,190.700,88.600
5,2253101131.839,4802307.633,14.165,237.367,193.867,89.700
6,86655494578.842,173785503.603,13.895,235.467,195.767,90.767
7,3022401558.534,6275938.395,13.607,238.033,192.733,90.133
8,3756098720.864,7562478.334,13.983,238.667,191.167,91.700
9,749414461619.793,1498896495.539,14.153,237.267,193.933,92.967
10,9582806636.206,19320965.190,14.133,238.433,193.567,89.900
11,457332953516.858,914720144.084,13.818,237.667,191.500,94.800
12,8528759752.620,17218614.736,14.593,235.667,196.067,95.500
13,796454225.535,1653873.130,14.444,235.833,195.233,96.233
14,2714764981.925,5610393.808,14.328,235.667,196.300,98.033
15,6088449346.942,12373427.494,14.647,237.033,196.067,100.600
16,20022633.834,61843.130,14.458,238.667,193.800,104.033
17,18212479.740,45349.206,14.656,234.800,199.600,104.900
18,135598900.531,282363.246,14.821,237.100,194.167,106.333
19,2702793796.323,5441861.132,14.499,238.600,196.100,104.067
20,2543216968.581,5097989.966,14.274,234.133,198.633,106.500
21,3348275.875,12541.373,13.425,234.133,198.567,106.300
22,30610416.407,69226.901,14.245,235.667,198.800,108.667
23,24700149.149,58694.596,14.545,238.533,196.867,108.267
24,1646710861.648,3333165.841,14.518,234.967,199.867,109.767
25,506678525.080,1023356.585,14.146,235.833,196.467,111.867
26,33659342.875,72557.088,14.350,236.567,199.733,109.767
27,136077008.160,284812.680,14.219,238.033,200.833,110.600
28,2152281417.881,4351959.325,13.538,236.800,199.867,111.633
29,163232808.689,342203.484,14.078,236.700,199.000,116.633
30,22976822.819,57371.692,13.922,237.833,198.733,117.033
31,120895949.176,261936.531,13.990,237.833,197.200,116.567
32,34693996.373,78855.720,14.171,237.167,198.067,116.633
33,529505716.991,1071187.660,14.214,235.333,200.667,117.533
34,1792617212.942,3594363.258,13.948,239.833,197.533,119.867
35,91112972309.770,182256443.277,14.432,239.967,199.967,115.333
36,2813982768.838,5633046.679,14.306,236.900,199.900,119.000
37,143369935.404,327907.330,14.013,239.800,197.733,118.900
38,93333599.006,194767.960,14.830,235.900,201.133,118.733
39,3167471764.537,6346788.770,14.713,236.100,199.433,123.300
40,9296497.988,29866.279,13.940,234.700,201.800,125.367
41,40896201.713,94426.146,14.231,235.267,202.900,125.300
42,400083632.729,823289.818,14.778,238.433,199.333,126.100
43,311418148.282,631056.861,14.580,237.600,200.133,127.933
44,369840411369.510,739703247.288,15.445,236.067,200.767,127.933
45,146106391.537,298164.659,14.391,237.233,198.967,128.200
46,54411824568.350,108829520.185,14.322,235.733,200.000,130.767
47,180552515.219,369410.974,14.416,235.000,201.900,127.000
48,28201858238.958,56421383.222,14.126,235.200,203.933,127.267
