max,mean,min,cross_improvec,cross_worsenc,unique
1,568224447078016064.000,1401294746834004.000,13.271,261.033,166.433,107.067
2,3449681850247473.500,27330208716359.742,12.057,230.200,193.667,111.700
3,19085889840988284.000,55231843555705.375,12.250,229.067,194.467,113.633
4,78457071613120736.000,199123612791595.500,11.974,226.767,195.267,113.700
5,26090343690506640.000,105022155234524.578,11.411,228.500,192.967,116.033
6,4208545576930677248.000,13584790220997036.000,12.102,229.300,189.067,118.800
7,550426867206193792.000,1173434605613548.500,11.733,229.967,187.933,121.267
8,128727588856651694080.000,257494583063401504.000,11.660,229.833,188.133,119.400
9,6143913327606875.000,66080286611521.336,11.011,224.900,189.033,124.033
10,5032512956568595.000,32358282212223.117,10.810,225.100,190.633,125.900
11,3418846048202185.000,20505998858801.066,10.965,223.400,189.800,128.967
12,13358580117322706.000,64056517424414.172,10.955,224.467,188.233,129.567
13,10239658361786954.000,65347925866112.773,10.637,225.033,187.333,130.667
14,2984180434866370560.000,6806194003057851.000,11.371,222.433,188.900,127.933
15,3418845854075906.500,48330855068267.844,11.660,223.767,185.567,126.467
16,5589521724938383.000,41902940500605.219,11.728,222.967,185.467,130.300
17,3418848480268516.500,14526510841481.932,11.733,221.567,186.233,131.733
18,2570037326926387200.000,5141583656299548.000,11.252,218.433,187.367,134.267
19,4093387420.158,8418004.892,11.447,219.733,186.400,130.500
20,1858797839.681,3873723.029,11.584,221.967,185.967,132.467
21,399422992.569,3639372.855,11.616,220.933,184.400,136.567
22,1335980351.373,11233190.887,11.247,218.000,189.233,136.367
23,795293387.508,5858568.700,10.826,215.333,189.000,137.200
24,434844320.239,5917366.369,10.624,218.433,187.467,136.900
25,1666151461.116,6208450.029,10.335,220.733,186.567,136.833
26,141491659.931,303514.402,10.454,218.400,187.033,134.600
27,1883234604055.465,3766487211.654,10.871,218.133,188.633,139.467
28,130700487.903,275473.751,10.306,217.467,186.000,141.100
29,360736321.738,808647.208,11.355,215.533,190.000,136.800
30,23087347.208,60881.308,11.069,215.933,188.300,137.367
31,68764379.895,152376.761,10.404,217.567,187.567,139.567
32,4601176.586,21583.495,10.881,213.900,189.933,139.167
33,121452759.776,259831.617,10.213,218.067,183.633,143.267
34,27841101.998,65504.928,10.256,215.567,188.633,140.233
35,21874923.493,54553.132,10.180,212.367,191.467,141.267
36,15588705.047,59274.851,10.197,213.300,192.467,142.633
37,45703114.924,119346.531,9.783,213.933,189.200,141.300
38,110414184.588,233771.297,9.637,213.967,194.433,138.533
39,70956638296.297,141924737.849,10.569,216.633,188.867,140.067
40,73527577.509,158727.127,10.526,215.333,188.367,144.067
41,22208265.933,58644.090,10.371,212.600,188.567,141.900
42,10836069.435,34761.910,10.582,215.100,189.900,143.633
43,714459753.236,1439903.372,10.230,215.133,187.233,144.100
44,2752022658.600,5516517.991,9.969,212.700,185.700,145.133
45,2856959.693,14631.280,10.600,215.533,188.867,145.167
46,658541995.999,1341107.788,10.913,212.467,189.000,141.900
47,6388507.363,18835.295,10.883,211.767,191.033,142.933
48,363632432.752,734300.956,10.385,212.667,188.033,143.800
49,18875812.278,43921.086,10.204,215.800,184.467,147.967
50,12414696.558,32961.022,10.580,211.267,188.967,148.967
51,78853132.556,176405.165,10.045,215.200,187.067,145.067
52,13925835.736,45801.296,10.171,214.633,188.700,146.567
53,443052149.433,905338.076,9.978,213.267,189.800,141.800
54,803538070470.957,1607097402.093,9.757,211.300,187.267,145.700
55,29170915.771,76340.592,9.378,208.500,192.367,141.733
56,58730902.550,152533.301,9.150,209.533,190.700,143.033
57,31499360.948,82514.630,9.583,210.667,187.900,147.300
58,3355909.949,21366.265,9.443,209.400,192.300,144.100
59,21102617.525,63479.991,9.651,208.400,189.600,145.433
60,9483650.039,43981.920,9.480,212.500,189.700,144.333
61,11585589665.011,23319844.388,9.811,212.433,187.500,144.967
62,19661997.954,55847.436,9.682,208.967,189.200,148.267
63,189847714.352,405254.175,9.721,214.200,186.900,145.233
64,211786597.975,2134935.190,9.688,211.900,188.633,143.667
65,367933339.867,1615079.800,10.144,211.300,188.400,145.600
66,3768434276.933,8950381.145,9.599,210.767,191.267,142.533
67,7866558627.317,18263799.684,9.491,207.500,192.133,146.733
68,143571881.153,2273021.910,10.258,207.300,192.633,143.467
69,203469226.082,3530682.293,9.347,209.300,190.333,147.767
70,85267912844.877,174210624.593,9.505,209.433,189.267,146.933
71,1473959233.782,5495912.081,9.316,207.633,191.533,145.133
72,5669815845.089,13915337.779,9.453,210.833,189.733,143.167
73,2230107994.105,6516454.143,10.299,209.700,191.567,144.900
74,2716237046945.159,5444524120.561,9.587,210.133,190.000,146.167
75,14218198599075.557,28446067869.649,10.148,208.900,187.067,149.267
76,2246864029.200,17611328.967,9.867,208.300,189.300,146.633
77,11949407689.364,45708062.528,9.974,209.500,188.800,150.300
78,9732603954.624,47264955.090,9.681,205.500,188.800,149.367
79,1973242314.402,30732116.348,8.727,209.467,185.233,151.300
80,40519449528.044,100779779.561,8.648,208.600,186.700,151.167
81,12417787412.141,66672617.653,9.135,206.267,190.333,146.200
82,1976785344.130,12262677.079,8.952,206.067,189.333,145.900
83,2027303907.081,23943738.036,9.162,211.433,185.733,149.033
84,1967862408.676,14612802.733,9.430,206.967,188.633,148.733
85,2355896460.953,6969607.957,9.070,208.033,186.800,147.467
86,216528810.276,2562500.548,9.410,206.567,189.767,150.633
87,173657746.699,1586188.509,9.432,204.100,189.833,153.933
88,388023067.127,1778740.272,9.723,206.600,188.133,148.733
89,164056665.336,2179105.838,9.749,210.467,184.600,152.233
90,223015773.847,3697218.521,9.143,207.867,187.700,149.600
91,152449497.718,1732521.300,10.200,205.900,190.567,151.667
92,1887451347.495,4657962.323,9.661,207.900,188.533,151.167
93,181503443.072,1226294.609,9.760,207.800,188.500,148.867
94,155135321.963,3296027.041,9.360,209.233,188.133,148.300
95,195153337.223,2945550.379,9.471,205.900,189.233,149.933
96,232009170.714,4944191.408,8.898,208.067,185.367,152.200
97,1786074353968.120,3576648368.376,9.061,208.533,185.800,150.200
98,151036664.724,2911099.827,9.244,206.033,189.267,151.000
99,155569405.090,1355586.801,9.727,208.600,187.233,148.900
100,900647208.964,1839480.801,9.785,208.033,187.633,153.633
