max,mean,min,cross_improvec,cross_worsenc,unique
1,3432890129975331.000,13704856104904.676,14.809,269.900,163.767,99.067
2,5049044287230501.000,10119508174280.611,13.339,237.267,196.267,91.933
3,20938816225191.910,59325939658.323,13.497,237.700,196.033,87.667
4,8624377787857.650,31760061828.041,15.316,241.733,189.467,85.500
5,2974267173583.558,13200249948.379,14.563,239.100,190.100,86.333
6,1563778165460.323,6036704497.330,15.376,239.000,189.667,86.733
7,4512962973537.592,9402935529.937,14.630,238.533,190.933,87.467
8,109516774343998.891,219035355251.626,14.086,239.700,188.667,89.567
9,109474177944589.234,218951683419.879,14.528,239.467,190.033,89.500
10,19562662209.661,48406893.011,14.724,237.167,189.867,91.633
11,588951833869.659,1337486701.767,14.738,238.800,191.800,91.033
12,119525067473.899,248913498.787,14.487,239.333,190.367,93.033
13,341050967872.861,778888304.396,15.095,240.600,190.633,94.433
14,326928377133.044,662626835.871,14.864,240.233,191.333,94.367
15,26087060106.246,57141311.242,15.247,239.633,190.700,95.067
16,25342806741.332,51008616.342,14.603,239.600,190.200,95.200
17,56641169528.755,113762510.058,14.993,237.867,193.200,98.533
18,418390023649.293,837795759.640,14.663,240.900,189.900,98.000
19,411478963517.049,823677104.909,15.226,237.467,192.400,99.233
20,477210828.342,1281197.925,14.824,236.667,194.867,100.567
21,136528025904.631,273417072.265,15.055,237.433,194.533,100.700
22,638364372.146,1474422.879,15.052,239.733,194.300,97.000
23,28394978334.394,57461850.850,14.516,237.900,195.467,102.733
24,810460804.847,2100283.085,15.302,239.600,193.700,102.300
25,13782470357.191,27932488.766,14.676,232.833,198.833,105.900
26,148292828710877.781,296585969630.124,14.139,239.667,192.367,106.533
27,1782438933.572,3830366.476,14.349,235.833,197.933,108.767
28,386031477.555,890903.345,13.813,240.000,196.333,105.300
29,42592187832.944,85418325.580,14.208,237.667,197.367,107.200
30,19777818883296.371,39556238238.600,14.468,238.033,194.500,109.833
31,1769040013968.799,3538182229.287,14.102,239.533,193.900,109.533
32,1768644293556.512,3541071143.796,14.656,238.100,195.733,112.367
33,24067881871135.070,50025227412.831,13.860,237.600,199.400,111.200
34,24077719886833.148,98102930107.487,14.214,234.033,200.233,112.667
35,43322503915986.414,96994602464.621,14.837,235.533,199.300,113.633
36,180218637236836.031,417581475794.518,14.203,238.367,196.000,114.667
37,170719286020905.188,361273276834.404,14.368,241.967,196.833,112.700
38,10171065731144.348,40109753533.945,12.724,239.600,195.900,115.533
39,3090628351744.229,6295451292.879,14.022,237.600,197.033,116.000
40,409363463628.055,1635496555.885,13.679,239.733,194.033,115.167
41,197667050611.584,584919784.062,13.923,237.567,196.333,117.500
42,124239169975.546,551738608.728,14.000,239.000,198.133,115.900
43,107437138986.801,358910830.139,14.113,238.833,201.033,117.033
