max,mean,min,cross_improvec,cross_worsenc,unique
1,591910319651.632,1183835660.150,13.282,226.967,217.133,145.367
2,125647757.860,252196.342,12.403,179.067,270.033,169.000
3,1206866476.847,2422372.894,12.160,162.233,285.533,181.233
4,186322326.166,372790.498,11.274,157.333,289.500,190.600
5,22144455.987,44354.026,10.697,154.967,290.967,192.333
6,207749588.141,420077.601,10.253,153.833,292.800,186.867
7,545432857.382,1090983.196,9.607,157.500,288.600,176.600
8,14148904.978,37942.006,9.271,156.567,291.167,170.900
9,45301984249.477,90604695.107,8.699,156.133,288.667,169.000
10,6307900.213,13715.805,8.238,159.533,287.067,163.667
11,107392009.720,214864.486,7.636,158.167,287.567,157.200
12,7411248.081,14858.057,7.281,153.533,290.000,154.400
13,292366315.273,585297.644,7.031,151.533,291.233,149.133
14,29963765.485,61422.749,6.449,151.033,289.133,146.533
15,4329505.913,8717.673,6.175,151.100,290.367,142.100
16,110153760.459,220385.358,5.860,150.900,287.933,144.333
17,20756615.779,41674.948,5.494,147.067,290.833,140.233
18,8581106.111,18100.358,5.236,148.367,290.267,140.733
19,18270076.204,36699.169,5.173,144.400,291.533,141.033
20,296890.985,631.869,4.799,147.233,289.633,142.600
21,91373861.986,182826.714,4.739,145.633,287.400,147.667
22,402821.374,847.807,4.658,147.100,287.000,151.067
23,2118959.722,4409.452,4.411,141.533,293.333,151.433
24,17553488844658.398,35106977758.033,4.320,139.833,292.833,153.733
25,5808596.730,12297.738,4.002,141.600,292.733,155.767
26,9574113.705,19435.965,3.860,140.033,291.300,160.300
27,137245845.099,274584.539,3.772,140.567,291.233,169.233
28,23152951916.131,46305964.479,3.643,138.567,293.233,172.700
29,6194202.812,12469.222,3.563,139.233,293.967,177.833
30,1947500355.365,3895085.939,3.497,135.567,296.800,181.633
31,12084881.898,24232.634,3.532,138.633,293.067,187.467
32,21376563129.191,42753231.571,3.320,134.667,295.767,191.367
33,3751948.652,7578.174,3.205,136.300,294.167,193.500
34,55029416.520,110772.988,3.193,138.733,294.167,195.267
35,5065294546.670,10134277.474,3.153,137.633,293.300,197.300
36,1352308.647,2836.687,3.123,134.033,295.733,194.200
37,397060399203.448,794123193.697,3.111,138.467,290.100,199.400
38,23952879671780.750,47905759411.761,3.049,135.033,294.500,201.600
39,80986367.886,162025.339,2.909,134.800,292.233,202.500
40,26452283278.579,52904621.920,2.908,132.300,295.400,206.533
41,3295927282.780,6592841.473,2.908,129.300,296.367,203.200
42,573051276.992,1146374.707,2.851,131.667,294.433,202.700
43,349829080411123.000,699658160882.233,2.842,128.833,295.500,206.133
44,1251695.172,4379.245,2.838,131.033,294.500,205.367
45,52741234.621,105601.387,2.789,128.033,297.367,210.100
46,3976749829.605,7955351.559,2.785,129.033,297.333,208.700
47,953286929.834,1906919.749,2.777,128.633,297.033,213.367
48,141164970.276,282415.017,2.763,126.433,296.100,214.467
49,448470555.738,897840.129,2.763,125.300,298.700,219.367
50,59036041255.077,118072125.946,2.734,126.733,298.800,221.300
51,1255245816.261,2511489.931,2.716,125.233,301.300,219.900
52,282518.678,673.329,2.716,125.667,297.433,222.667
53,5075423.537,10258.646,2.701,123.267,300.100,223.833
54,9621805.938,24825.484,2.681,126.400,298.567,225.733
55,3575442.131,7234.838,2.681,125.567,295.600,229.500
56,27383798.506,54809.855,2.681,124.500,299.800,229.133
57,9779579.418,19823.967,2.677,119.900,304.167,225.367
58,69960973.809,154070.243,2.645,123.133,300.800,225.267
59,487009.028,1062.660,2.638,120.400,302.167,229.200
60,5330172.214,10812.357,2.636,122.167,299.967,228.067
61,25163337.254,50754.112,2.623,121.233,301.167,224.567
62,51059433.320,102402.015,2.623,122.533,301.000,223.133
63,66351.680,211.673,2.621,123.033,298.800,227.633
64,73314935.290,146883.859,2.620,123.133,300.433,228.733
65,622066365.484,1244205.430,2.601,119.433,302.233,227.367
66,36334640.453,72779.372,2.546,122.767,299.500,227.967
67,5087693.776,10289.506,2.538,121.133,299.600,227.867
68,8055933.060,18073.639,2.528,121.767,300.267,226.433
69,96482811.059,194862.011,2.525,118.767,301.933,230.300
70,1079304.680,2255.224,2.525,119.167,303.200,228.833
71,3989864527.851,7980166.793,2.525,122.067,299.733,227.867
72,46803513.073,93637.232,2.525,121.600,298.067,227.400
73,1119618343700406.625,2239236688220.581,2.521,124.233,296.500,230.800
74,161548332.786,323241.223,2.500,122.533,299.667,223.100
75,29622411.008,59407.242,2.483,120.500,300.800,220.233
76,1497215.247,4675.509,2.493,119.700,300.100,221.500
77,41144439.228,82411.850,2.486,119.000,300.167,217.467
78,7328494889.104,14657057.898,2.481,122.667,299.500,215.733
79,17861141.705,35883.637,2.481,124.000,297.733,220.633
80,5902940.240,12292.665,2.464,120.400,299.567,219.733
81,347359.676,777.645,2.464,118.667,297.267,228.100
82,135365436.120,270786.249,2.457,122.000,294.433,229.567
83,55143279.062,110474.053,2.453,118.867,299.433,229.133
84,84455792.008,168976.232,2.434,120.667,300.367,231.733
85,19828479529733.805,39656959134.446,2.434,117.967,300.800,229.167
86,99078320.039,198285.442,2.431,115.700,300.400,232.233
87,4532107.775,9324.716,2.425,119.233,300.333,229.800
88,28525193864497.062,57050387806.016,2.425,117.767,301.633,233.700
89,18883351110.746,37767625.999,2.425,117.833,299.000,238.033
90,965034.935,1999.027,2.416,117.067,297.867,236.200
91,1385131.358,2814.803,2.396,118.633,301.200,233.867
92,13972618.033,28137.586,2.395,119.933,299.400,235.167
93,1761620.773,3590.247,2.394,117.100,301.067,233.233
94,2857980062.035,5716766.032,2.394,118.867,299.900,236.900
95,21563741.474,43962.434,2.394,113.433,305.233,236.067
96,201648724.081,403390.949,2.377,116.833,300.133,238.967
97,523834.125,1190.428,2.377,112.867,302.700,236.900
98,35733747.265,71912.624,2.377,114.933,302.767,234.600
99,10918420.186,22159.902,2.375,113.000,303.733,232.333
100,20748377606284.379,41496769106.809,2.371,113.100,304.367,233.767
