max,mean,min,cross_improvec,cross_worsenc,unique
1,592040874122.303,1184087930.722,14.039,227.300,217.733,144.600
2,769579240.917,1541764.154,14.013,184.133,264.633,169.367
3,2450988273.024,6604178.130,13.438,160.233,287.600,188.933
4,3479561750.754,6959921.735,12.805,159.133,288.233,194.100
5,9761043.952,19837.798,12.561,156.933,292.133,195.967
6,40909850.082,83480.418,11.829,156.633,292.600,197.633
7,10022469.747,25843.757,11.922,158.267,289.967,197.667
8,645444871.164,1293922.088,11.053,157.833,290.067,191.267
9,22505105.421,45243.407,10.388,158.300,288.233,185.000
10,2756413.827,5608.405,10.044,155.200,291.600,177.600
11,177427269344536.062,354854538884.666,10.107,155.500,290.800,173.067
12,1205103678.023,2410276.145,9.351,154.467,292.733,169.200
13,95472063.403,192050.536,9.106,154.533,290.600,162.933
14,728609035.218,1464563.505,9.171,151.500,292.900,157.667
15,903532959.217,1807121.262,8.614,155.567,286.367,158.967
16,285536326.759,571568.183,8.587,151.800,291.267,149.833
17,800805.737,1626.109,8.245,151.433,289.267,148.367
18,460235.740,1036.309,8.142,149.967,288.300,144.967
19,4274465.680,8658.068,7.873,150.267,285.000,145.033
20,9105815.473,18318.158,7.579,150.667,285.600,143.500
21,1007073.478,2054.189,7.615,148.800,286.533,145.833
22,2651148.690,5346.944,7.276,147.400,287.067,147.067
23,6955007.934,16493.246,7.158,148.467,286.000,146.333
24,2819850.477,6107.414,6.756,144.200,287.700,146.733
25,10622504.873,24479.004,6.730,143.400,287.133,145.800
26,7461950.581,15684.717,6.777,141.600,288.367,151.967
27,8106779.666,16254.368,6.398,141.500,288.000,151.600
28,5486408.615,11028.899,6.223,138.633,290.267,152.267
29,2137792.686,4446.741,6.134,136.867,292.100,152.767
30,1043093705739.048,2086189604.669,6.179,139.300,287.067,157.767
31,53245342.159,107370.311,5.984,140.067,287.100,159.333
32,12542954230.366,25086012.217,5.847,135.533,289.167,158.833
33,669283.773,1679.563,5.856,136.467,288.033,164.600
34,848545045.056,1697153.121,5.781,140.933,285.167,164.900
35,12231793.953,24488.952,5.695,133.467,290.600,167.000
36,1132555.888,2303.552,5.637,132.233,289.767,168.467
37,1404239.197,2831.493,5.289,133.267,290.800,165.733
38,3237029.790,6507.725,5.126,131.333,287.633,168.467
39,3843320.764,8014.950,5.066,134.367,288.300,169.733
40,7823802.728,15672.493,5.108,131.233,290.433,170.433
41,4157570.755,8347.535,5.038,130.533,288.700,173.533
42,1068422.966,2157.630,4.931,128.700,290.167,174.667
43,15543810.190,32912.599,4.894,131.833,288.867,173.600
44,595845222.768,1207416.002,4.841,131.567,288.633,179.267
45,600753168.792,1201848.545,4.814,132.000,286.300,180.100
46,19453104.131,38930.627,4.781,131.900,285.700,182.100
47,713087832.272,1426197.485,4.721,129.967,288.800,183.567
48,2025379.878,4277.607,4.668,125.433,288.600,186.200
49,40910381.333,81909.198,4.689,126.233,288.500,188.200
50,667351.778,1388.901,4.685,125.333,289.200,187.467
51,153194.268,333.447,4.705,124.033,291.767,184.500
52,1452761573423.951,2905523176.594,4.507,127.433,287.200,188.100
53,136131510782142.562,272263021810.295,4.426,121.600,291.567,192.700
54,1333052.601,2688.303,4.413,122.500,291.867,195.767
55,1092397.674,2241.900,4.445,125.367,290.733,193.200
56,3941520.392,7911.090,4.412,121.633,291.233,198.333
57,1772396.907,3586.508,4.405,119.433,294.600,197.233
58,6978318.445,13980.388,4.453,122.967,296.033,197.200
59,4051293.585,8175.750,4.455,121.000,294.000,202.467
60,795388299.180,1622554.983,4.406,122.567,292.300,205.833
61,2275141283.763,4550372.925,4.380,122.733,292.167,207.900
62,15573818.907,32802.385,4.357,120.633,292.500,205.633
63,359051.169,744.454,4.344,119.067,297.800,206.667
64,32625168.480,65334.059,4.307,121.567,295.333,208.433
65,370777.637,762.596,4.299,123.233,293.733,209.933
66,372978.330,778.069,4.334,119.900,297.600,208.533
67,3813975.081,7649.963,4.267,118.600,297.267,208.400
68,34213517.464,68504.217,4.327,121.333,294.433,214.067
69,1150240.988,2331.353,4.257,118.733,297.767,213.733
70,2985323.075,6005.374,4.291,119.100,296.867,215.167
71,2903757.201,5912.947,4.269,119.867,297.100,211.333
72,4369512791.189,8739157.170,4.244,120.033,296.500,212.700
73,1387959.367,2799.426,4.223,116.333,299.200,215.967
74,944636.530,1982.541,4.160,117.533,296.500,218.333
75,328511.179,684.093,4.130,118.800,297.567,217.833
76,3317615.423,6663.749,4.184,114.767,303.267,214.600
77,6658939.842,13346.157,4.146,118.000,298.133,216.000
78,900865.055,1853.458,4.132,115.600,297.067,222.267
79,3107599.458,6274.233,4.093,117.700,297.200,219.833
80,66625069.108,134209.643,4.074,117.300,299.200,222.467
81,4198531.253,8772.519,4.059,114.533,302.700,222.067
82,12658008.073,25354.329,4.090,116.767,300.367,223.333
83,3198873590.127,6397781.894,4.101,115.633,299.233,223.800
84,7110373.893,14537.071,4.079,116.433,297.833,225.767
85,2862036010.831,5724219.582,4.086,113.433,300.933,226.933
86,20746549.469,41522.076,4.113,113.767,301.033,224.333
87,36228940938.485,72457903.659,4.004,114.600,302.400,226.267
88,301101246.818,602220.483,4.027,117.600,298.000,226.500
89,8788581.143,17797.027,4.006,114.933,298.367,228.367
90,458468.183,983.381,3.959,115.667,298.100,226.567
91,1818181521.596,3636536.995,3.956,113.267,300.200,226.467
92,1847119.232,3773.986,3.959,117.200,299.567,225.467
93,2578723.702,5208.151,3.949,115.500,299.733,228.700
94,21569352613777.930,43138705264.642,3.945,117.100,298.300,228.700
95,1175048.439,2371.777,3.900,118.267,296.233,230.033
96,413077.119,854.262,3.903,115.933,299.767,230.067
97,9342576.198,19997.089,3.866,116.333,296.567,232.133
98,1591371.252,3264.460,3.847,115.167,298.733,231.100
99,3997667.288,11653.627,3.840,116.433,298.233,230.000
100,3439481821.392,6881280.795,3.854,116.467,295.700,234.033
